make,model,vid,pid,revision,mode,type,reportExtensionId,perClickLatency,polledActuation,pulseFrequencyHz,actuationDetectionDurationUs,maximumHostPollRateHz,avgLmbLatencyUs,stdDevUs,adjustedAvgLmbLatencyUs,Tested By
NVIDIA LUT Version,v0.98.0 11-11-20,10de,0000,0000,wired,none,TRUE,TRUE,TRUE,0,0,0,0,0,0,NVIDIA
Asus,ROG Chakram (wired),0b05,18e3,0928,wired,none,FALSE,FALSE,FALSE,0,0,1000,2115,355,2115,NVIDIA
Asus,ROG Chakram (wireless),0b05,18e5,0930,wireless,none,TRUE,FALSE,FALSE,0,0,1000,2993,390,2993,NVIDIA
Asus,ROG Chakram Core,0b05,1958,0108,wired,none,FALSE,TRUE,FALSE,0,0,1000,616,281,616,NVIDIA
Alienware,AW610M (wireless),0461,4ec0,0303,wireless,none,FALSE,TRUE,FALSE,0,0,1000,4543,424,4543,NVIDIA
Alienware,AW610M (wired),0461,4e9d,0308,wired,none,FALSE,TRUE,FALSE,0,0,1000,4125,402,4125,NVIDIA
Finalmouse,Ultralight Phantom,04d9,ad50,0100,wired,none,FALSE,FALSE,FALSE,0,0,1000,6132,622,6132,NVIDIA
Finalmouse,Air58 Ninja CBB,04d9,ad50,0100,wired,none,FALSE,FALSE,FALSE,0,0,1000,6164,593,6164,NVIDIA
Finalmouse,Ultralight 2 Cape Town,04d9,ad50,0100,wired,none,FALSE,FALSE,FALSE,0,0,1000,6330,586,6330,NVIDIA
Finalmouse,Ninja Air58 CBR,04d9,ad50,0100,wired,none,FALSE,FALSE,FALSE,0,0,1000,6595,588,6595,NVIDIA
Glorious,Model O,258a,0036,0100,wired,none,FALSE,FALSE,FALSE,0,0,1000,13461,1511,13461,NVIDIA
HyperX,Pulsefire FPS,0951,16bc,0007,wired,none,FALSE,FALSE,FALSE,0,0,1000,8380,504,8380,NVIDIA
Logitech G,G502,046d,c08b,2702,wired,none,FALSE,FALSE,FALSE,0,0,1000,2497,294,2497,NVIDIA
Logitech G,PRO Wireless Ghost White (wired),046d,c088,1502,wired,none,FALSE,FALSE,FALSE,0,0,1000,2562,277,2562,NVIDIA
Logitech G,PRO Wireless Ghost White (wired),046d,c088,1510,wired,none,FALSE,TRUE,FALSE,0,0,1000,2523,286,2523,NVIDIA
Logitech G,PRO Wireless Easter Pink (wired),046d,c088,1502,wired,none,FALSE,FALSE,FALSE,0,0,1000,2528,301,2528,NVIDIA
